"","X9","X12","Mont","Name_fish","Area","Fresh_ecor","Mont_temperaturamean","Mont_precmean","topografiaCV"
"P0254",104,1041,"1041b","P0254",9.381,"Madeira",24.52604119,2070,5.897544881
"P0255",104,1042,"1042c","P0255",31.943,"Madeira",24.56260957,2057.710526,9.457017182
"P0256",104,1042,"1042a","P0256",28.729,"Madeira",24.55773784,2032.857143,9.906144778
"P0261",103,1031,"1031a","P0261",0.788,"Madeira",24.69563586,1891.812622,7.013336705
"P0262",103,1032,"1032a","P0262",2.667,"Madeira",24.69444466,1820.666667,6.751971362
"P0263",101,1012,"1012a","P0263",2.825,"Madeira",24.43645811,1854.25,9.733857372
"P0264",101,1013,"1013a","P0264",0.582,"Madeira",23.65356991,1930.477917,1.735099322
"P0265",101,1013,"1013b","P0265",5.883,"Madeira",23.42569447,1963.833333,4.318846292
"P0266",101,1011,"1011a","P0266",3.904,"Madeira",23.52416687,1908.2,1.985863154
"P0271",102,1021,"1021a","P0271",0.662,"Madeira",24.5661241,1830.392195,2.179330736
"P0272",102,1022,"1022a","P0272",4.302,"Madeira",24.65999985,1783.2,4.335804046
"P0276",102,1024,"1024a","P0276",0.604,"Madeira",24.55416679,1740.5,3.017205781
"P0277",102,1023,"1023a","P0277",5.943,"Madeira",24.63273811,1765.285714,4.093334625
"P0281",1,11,"11a","P0281",22.696,"Lag_Patos",17.90873651,1333.064516,27.01927576
"P0282",1,11,"11b","P0282",27.959,"Lag_Patos",17.97208333,1330.45,27.12028103
"P0283",1,12,"12b","P0283",14.197,"Lag_Patos",18.02361096,1325.166667,22.8140791
"P0289",4,42,"42a","P0289",47.097,"Low_Urugua",18.72620056,1517.508475,14.19567389
"P0290",4,41,"41a","P0290",27.51,"Low_Urugua",18.59912295,1532.315789,13.30172318
"P0291",4,41,"41b","P0291",12.606,"Low_Urugua",18.73823514,1541.117647,8.577345148
"P0292",5,51,"51a","P0292",15.306,"Low_Urugua",20.5111742,1744.909091,10.66182833
"P0293",5,52,"52a","P0293",31.233,"Low_Urugua",20.45748108,1772.772727,14.12489556
"P0294",5,51,"51b","P0294",6.441,"Low_Urugua",20.53645802,1753.375,13.44093401
"P0301",2,22,"22a","P0301",10.54,"Lag_Patos",18.71145821,1493.5,12.55693758
"P0302",2,22,"22b","P0302",43.129,"Lag_Patos",18.65402778,1497.2,14.85465577
"P0303",2,21,"21a","P0303",6.349,"Lag_Patos",18.37187505,1505.375,12.51247115
"P0312",3,31,"31a","P0312",7.907,"Low_Urugua",18.3125,1509,16.95107286
"P0314",3,32,"32a","P0314",12.03,"Low_Urugua",18.6804688,1504.875,14.42657164
"P0325",1,12,"12a","P0325",36.994,"Lag_Patos",17.94345241,1328.244898,25.07527554
"P0333",98,982,"982a","P0333",4.647,"Tocantins",23.24249992,1574.6,11.6747951
"P0334",98,982,"982b","P0334",4.942,"Tocantins",23.74305534,1559.833333,14.96368568
"P0339",98,984,"984a","P0339",8.624,"Tocantins",24.29469698,1541.818182,9.773762217
"P0342",98,983,"983b","P0342",13.03,"Tocantins",23.55999985,1565.2,15.40968226
"P0343",98,983,"983c","P0343",2.667,"Tocantins",23.75138855,1557.333333,9.416991606
"P0344",99,991,"991a","P0344",22.149,"Tocantins",23.42323714,1580.576923,14.68509135
"P0345",98,981,"981a","P0345",7.451,"Tocantins",23.73564805,1565.555556,15.38821296
"P0349",99,991,"991c","P0349",27.323,"Tocantins",23.78666654,1565.485714,11.26094678
"P0350",99,991,"991b","P0350",3.858,"Tocantins",24.359375,1547.75,6.915276927
"P0351",99,992,"992d","P0351",9.719,"Tocantins",24.18916683,1544.2,17.24113815
"P0352",99,992,"992b","P0352",14.415,"Tocantins",23.91425454,1557.210526,21.54381388
"P0353",99,992,"992a","P0353",4.95,"Tocantins",23.86597188,1559.666667,13.42758839
"P0354",99,992,"992c","P0354",1.188,"Tocantins",23.87282627,1561.379831,8.144912643
"P0355",100,1001,"1001a","P0355",6.046,"Tocantins",23.7307291,1568.875,13.54076884
"P0356",100,1001,"1001b","P0356",9.228,"Tocantins",23.60643907,1572.090909,13.39129675
"P0357",100,1002,"1002c","P0357",12.717,"Tocantins",23.59404768,1566.214286,12.23477462
"P0358",100,1002,"1002a","P0358",1.807,"Tocantins",24.04374981,1552.5,11.87043399
"P0359",100,1002,"1002b","P0359",5.962,"Tocantins",24.21607154,1554.714286,16.00547507
"P0361",98,983,"983a","P0361",32.938,"Tocantins",23.58938494,1563.714286,13.36177004
"P0362",94,941,"941a","P0362",4.529,"Tocantins",21.49333305,1551,16.73236459
"P0363",94,942,"942a","P0363",3.767,"Tocantins",21.64374971,1539,10.69658061
"P0373",94,941,"941b","P0373",2.506,"Tocantins",22.37916692,1513.666667,9.537311247
"P0377",96,961,"961a","P0377",13.247,"Tocantins",22.76911758,1562.882353,21.6661161
"P0379",95,952,"952b","P0379",12.027,"Tocantins",23.40416636,1517.357143,18.50139341
"P0380",95,951,"951a","P0380",135.874,"Tocantins",23.77217823,1519.031646,10.66799927
"P0381",95,952,"952a","P0381",10.746,"Tocantins",23.37222214,1524,17.45774607
"P0382",96,962,"962a","P0382",25.746,"Tocantins",22.86235632,1553,21.23972407
"P0383",96,962,"962c","P0383",2.245,"Tocantins",23.76388931,1505.333333,14.13239665
"P0384",96,962,"962b","P0384",4.163,"Tocantins",22.98833351,1541.6,18.58258295
"P0391",81,811,"811c","P0391",7.616,"Up_Parana",20.1916666,1615,2.836991748
"P0392",82,822,"822a","P0392",5.395,"Up_Parana",20.01369068,1621.428571,6.284330355
"P0394",82,821,"821a","P0394",15.284,"Up_Parana",20.41184225,1588.947368,3.470115647
"P0398",83,832,"832a","P0398",10.595,"Up_Parana",20.10865402,1592.384615,2.465499549
"P0405",82,822,"822b","P0405",3.392,"Up_Parana",20.4802084,1592.25,1.96939293
"P0407",84,842,"842a","P0407",1.545,"Up_Parana",20.5041666,1569,2.108677476
"P0410",84,841,"841a","P0410",15.638,"Up_Parana",20.55328941,1569.526316,2.471045352
"P0413",81,811,"811a","P0413",24.514,"Up_Parana",20.20229892,1610.37931,2.612021765
"P0414",83,831,"831a","P0414",15.861,"Up_Parana",20.14057009,1580.052632,4.834052263
"P0419",84,842,"842b","P0419",7.43,"Up_Parana",20.58041687,1570,2.53758566
"P0424",81,812,"812a","P0424",27.948,"Up_Parana",20.14129914,1621.558824,3.320287651
"P0425",81,811,"811b","P0425",8.411,"Up_Parana",20.18055556,1613.111111,1.845608147
"P0427",82,821,"821b","P0427",1.211,"Up_Parana",20.51458359,1566,2.456957085
"P0428",82,821,"821c","P0428",3.34,"Up_Parana",20.48263899,1576.666667,2.233845004
"P0441",77,772,"772a","P0441",16.87,"Up_Parana",22.98690469,1431.47619,4.685552024
"P0444",76,762,"762a","P0444",3.715,"Up_Parana",23.05166626,1452.2,3.363986646
"P0445",77,772,"772b","P0445",3.436,"Up_Parana",23.11250019,1435.25,4.752266306
"P0450",77,771,"771a","P0450",19.841,"Up_Parana",23.36449989,1455.2,5.286163753
"P0455",76,762,"762b","P0455",44.196,"Up_Parana",23.0430302,1436.618182,5.571273295
"P0461",76,761,"761a","P0461",49.257,"Up_Parana",23.11586263,1439.894737,4.86195432
"P0472",88,882,"882a","P0472",7.812,"S_Francisc",21.25875015,1175.7,2.28932955
"P0474",85,852,"852a","P0474",1.374,"S_Francisc",21.71041679,1315,4.125126111
"P0476",89,891,"891a","P0476",6.971,"S_Francisc",21.28125024,1172.875,2.230519068
"P0477",86,861,"861a","P0477",2.059,"S_Francisc",21.96805573,1249.333333,2.88712245
"P0478",90,901,"901a","P0478",10.521,"S_Francisc",21.75128218,1295,2.686165785
"P0480",90,902,"902a","P0480",3.182,"S_Francisc",21.57916679,1306,3.228180422
"P0481",85,851,"851a","P0481",5.241,"S_Francisc",21.78802109,1268.875,4.545975468
"P0482",88,881,"881a","P0482",104.928,"S_Francisc",21.23138021,1188.34375,5.848856441
"P0486",85,852,"852b","P0486",12.173,"S_Francisc",21.84427071,1265.5,4.419163088
"P0489",89,892,"892a","P0489",165.034,"S_Francisc",21.2945352,1149.422111,4.325960002
"P0499",86,862,"862b","P0499",22.629,"S_Francisc",21.89197519,1345.259259,2.80164722
"P0507",86,862,"862a","P0507",4.068,"S_Francisc",22.0354166,1346,1.979129977
"P0511",80,801,"801a","P0511",2.519,"Up_Parana",21.17083311,1600.25,2.867839667
"P0513",80,803,"803a","P0513",3,"Up_Parana",21.17812538,1591.75,5.07767164
"P0514",80,802,"802d","P0514",4.867,"Up_Parana",21.21180534,1608.666667,3.089844022
"P0518",80,802,"802a","P0518",21.1,"Up_Parana",21.70865367,1585.384615,4.345463306
"P0527",80,802,"802c","P0527",7.916,"Up_Parana",21.08333321,1603.7,5.119996058
"P0536",80,802,"802b","P0536",12.915,"Up_Parana",21.31190463,1596.357143,5.272210827
"P0547",34,342,"342a","P0547",6.218,"Up_Parana",21.4468751,1634.625,4.303855321
"P0548",34,343,"343a","P0548",22.267,"Up_Parana",21.65555547,1630.266667,4.523901605
"P0549",33,333,"333b","P0549",28.799,"Up_Parana",21.65698201,1622.918919,3.519579396
"P0553",25,252,"252a","P0553",11.241,"Up_Parana",21.71527774,1496.333333,6.616737629
"P0555",32,322,"322a","P0555",46.88,"Up_Parana",21.95925144,1558.237288,5.08129259
"P0556",31,312,"312a","P0556",1,"Up_Parana",21.77662812,1530.277362,2.451404809
"P0559",25,251,"251a","P0559",27.549,"Up_Parana",21.6523286,1466.794118,7.253919282
"P0561",32,321,"321a","P0561",9.395,"Up_Parana",22.14131927,1540.5,7.487977941
"P0562",27,273,"273b","P0562",7.43,"Up_Parana",21.97361098,1526.222222,3.26524431
"P0564",27,271,"271b","P0564",4.625,"Up_Parana",22.03472169,1544.166667,6.117681843
"P0569",31,311,"311a","P0569",5.483,"Up_Parana",21.75892884,1535,3.242772895
"P0573",34,344,"344a","P0573",0.868,"Up_Parana",21.60448156,1629.121609,1.116707631
"P0574",34,344,"344b","P0574",0.922,"Up_Parana",21.52539294,1629.806851,0.515990886
"P0575",34,341,"341a","P0575",0.79,"Up_Parana",21.56041622,1625.5,4.323850379
"P0576",33,333,"333a","P0576",58.683,"Up_Parana",21.59171945,1631.64557,6.792957417
"P0577",33,332,"332a","P0577",4.413,"Up_Parana",21.68916702,1617,3.685134151
"P0578",33,331,"331b","P0578",31.983,"Up_Parana",21.70384627,1608.179487,5.741639607
"P0580",27,271,"271a","P0580",13.496,"Up_Parana",22.04387261,1538.117647,3.983725993
"P0593",27,272,"272a","P0593",4.374,"Up_Parana",21.98888842,1543.666667,2.533453193
"P0595",27,273,"273a","P0595",1.468,"Up_Parana",21.92974522,1529.119239,1.521683377
"P0597",33,331,"331a","P0597",2.64,"Up_Parana",21.59774154,1619.357914,2.808449313
"P0610",57,572,"572a","P0610",62.369,"Paraguay",22.99994595,1440.168831,11.53030946
"P0614",57,571,"571a","P0614",0.912,"Paraguay",23.13694414,1423.228897,2.790417217
"P0634",59,591,"591a","P0634",1.442,"Paraguay",22.41527812,1331.333333,2.029476577
"P0642",59,592,"592a","P0642",57.042,"Paraguay",22.20306717,1317.361111,5.944548273
"P0647",57,572,"572b","P0647",0.682,"Paraguay",22.92437308,1462.269483,2.509192261
"P0656",58,581,"581b","P0656",10.346,"Paraguay",23.77564107,1282.230769,22.17422599
"P0657",58,581,"581a","P0657",34.18,"Paraguay",23.53263891,1270.142857,26.17404352
"P0659",58,582,"582a","P0659",6.476,"Paraguay",23.27023806,1314.571429,13.42748896
"P0674",46,461,"461a","P0674",79.542,"Up_Parana",22.98894386,1455.861386,5.276044108
"P0675",46,462,"462a","P0675",55.602,"Up_Parana",23.15781246,1442.416667,5.793407609
"P0676",47,471,"471a","P0676",4.125,"Up_Parana",23.22395849,1446,4.110389978
"P0682",40,403,"403a","P0682",7.961,"Up_Parana",22.14708309,1438.5,5.010055329
"P0683",29,292,"292a","P0683",45.593,"Up_Parana",21.93045968,1511.827586,6.706838628
"P0685",26,263,"263a","P0685",66.989,"Up_Parana",21.76681716,1493.626506,5.500899656
"P0687",43,431,"431a","P0687",2.567,"Up_Parana",22.41562557,1495.75,4.485490994
"P0690",42,422,"422b","P0690",60.002,"Up_Parana",22.04766665,1563.88,5.710158098
"P0691",41,414,"414a","P0691",7.619,"Up_Parana",22.17624989,1543.7,3.929751606
"P0693",35,351,"351a","P0693",2.707,"Up_Parana",21.5687499,1595.25,1.327133672
"P0700",47,472,"472a","P0700",104.254,"Up_Parana",22.88621798,1447.938462,4.774221315
"P0705",44,441,"441c","P0705",11.693,"Up_Parana",22.25089264,1543.214286,3.690577728
"P0713",122,1222,"1222a","P0713",4.822,"Up_Parana",21.91597207,1519.5,3.549579396
"P0714",53,531,"531a","P0714",30.062,"Up_Parana",21.87839925,1468.763158,2.771165247
"P0717",50,501,"501a","P0717",38.406,"Up_Parana",22.32761447,1446.45098,4.009823603
"P0718",50,502,"502a","P0718",3.887,"Up_Parana",22.41083298,1460,1.171568846
"P0720",62,622,"622a","P0720",1.418,"Up_Parana",22.76951903,1416.639191,6.27242399
"P0721",41,414,"414b","P0721",2.845,"Up_Parana",22.53958273,1517.5,1.286284241
"P0722",41,411,"411a","P0722",81.886,"Up_Parana",22.57916672,1500.428571,5.078660331
"P0730",45,452,"452a","P0730",3.722,"Up_Parana",23.0135417,1459.75,1.631857407
"P0731",36,362,"362a","P0731",75.843,"Up_Parana",21.72191844,1571.885417,6.019037211
"P0737",41,415,"415a","P0737",14.411,"Up_Parana",21.98611111,1527.388889,3.59576755
"P0738",44,442,"442a","P0738",45.371,"Up_Parana",22.33684225,1532.54386,7.152955444
"P0739",44,441,"441a","P0739",10.778,"Up_Parana",22.43988092,1527.928571,4.605907155
"P0740",44,441,"441b","P0740",4.117,"Up_Parana",22.4625,1533.2,5.447554079
"P0742",41,416,"416a","P0742",11.685,"Up_Parana",21.93583336,1521.733333,3.83141997
"P0744",62,621,"621a","P0744",8.13,"Up_Parana",22.71583309,1429.4,5.830854629
"P0745",43,434,"434b","P0745",33.387,"Up_Parana",22.13392857,1558.5,6.095298694
"P0747",42,422,"422a","P0747",1.974,"Up_Parana",21.9593749,1564.75,3.978342937
"P0748",29,292,"292b","P0748",51.827,"Up_Parana",22.12916669,1522.647059,7.166333257
"P0750",28,281,"281a","P0750",6.914,"Up_Parana",21.85000014,1491,5.112802596
"P0751",26,262,"262b","P0751",31.865,"Up_Parana",21.71260419,1501.5,4.990028551
"P0752",26,264,"264a","P0752",2.144,"Up_Parana",21.67083359,1508,4.135467038
"P0753",30,301,"301a","P0753",6.414,"Up_Parana",21.79999981,1514.7,4.81077908
"P0754",37,371,"371a","P0754",20.82,"Up_Parana",22.13802091,1491,5.019556518
"P0755",37,372,"372a","P0755",48.891,"Up_Parana",22.09337422,1502.393443,7.264135201
"P0756",35,352,"352a","P0756",6.308,"Up_Parana",21.33703719,1630.888889,1.383911402
"P0758",47,473,"473a","P0758",156.767,"Up_Parana",23.05391541,1443.271357,12.76909993
"P0766",122,1221,"1221a","P0766",22.635,"Up_Parana",22.04680564,1496.4,6.457505519
"P0780",50,501,"501b","P0780",0.701,"Up_Parana",22.63124943,1446,5.018325424
"P0783",39,392,"392b","P0783",95.404,"Up_Parana",22.45676637,1476.581197,7.16443104
"P0784",45,451,"451a","P0784",37.702,"Up_Parana",22.73262401,1467.744681,8.275197269
"P0786",26,262,"262a","P0786",7.492,"Up_Parana",21.76499996,1468.9,5.594269049
"P0787",28,281,"281b","P0787",4.471,"Up_Parana",21.88666649,1483.4,3.501764593
"P0793",26,261,"261a","P0793",32.093,"Up_Parana",21.81791668,1444.825,6.60816985
"P0798",30,302,"302a","P0798",85.929,"Up_Parana",21.87226076,1523.425926,6.693334617
"P0799",30,302,"302b","P0799",3.948,"Up_Parana",21.8618056,1518,4.952184212
"P0802",29,291,"291a","P0802",32.658,"Up_Parana",22.11958327,1502.95,7.527155488
"P0804",54,542,"542a","P0804",23.26,"Up_Parana",21.50513878,1498.3,4.353106283
"P0805",53,532,"532a","P0805",92.513,"Up_Parana",21.59978258,1482.165217,4.577597099
"P0807",50,501,"501c","P0807",2.477,"Up_Parana",22.12291574,1444.5,0.477053821
"P0810",39,393,"393a","P0810",36.242,"Up_Parana",22.2798913,1469.5,4.796880806
"P0811",54,541,"541a","P0811",12.25,"Up_Parana",21.60277774,1507.733333,4.078916658
"P0812",39,392,"392a","P0812",0.781,"Up_Parana",22.7376224,1477.62948,3.509562056
"P0819",38,383,"383d","P0819",14.561,"Up_Parana",22.21111117,1454.888889,3.843126609
"P0821",35,353,"353a","P0821",47.18,"Up_Parana",21.43534721,1636.983333,3.296405466
"P0824",36,361,"361a","P0824",84.392,"Up_Parana",21.82249996,1547.171429,6.530761499
"P0825",41,417,"417a","P0825",33.923,"Up_Parana",22.39674805,1484.658537,4.569487574
"P0830",43,432,"432a","P0830",3.737,"Up_Parana",22.3145833,1524.5,5.713186071
"P0832",40,402,"402a","P0832",27.156,"Up_Parana",22.64835855,1446.515152,5.934164621
"P0835",38,383,"383c","P0835",2.004,"Up_Parana",22.12638855,1452.333333,1.751773936
"P0836",38,383,"383b","P0836",5.272,"Up_Parana",22.06964302,1435.571429,1.890940042
"P0837",38,383,"383a","P0837",4.421,"Up_Parana",22.0533329,1445,2.457214454
"P0844",38,383,"383e","P0844",8.328,"Up_Parana",22.2203704,1456.888889,4.246414724
"P0849",42,421,"421a","P0849",9.322,"Up_Parana",22.03993082,1558.583333,4.571345311
"P0872",38,382,"382a","P0872",1.698,"Up_Parana",22.3056602,1450.684625,2.037448918
"P0889",41,413,"413a","P0889",29.406,"Up_Parana",22.44540616,1521.153846,7.513635388
"P0890",41,412,"412a","P0890",30.528,"Up_Parana",22.19155977,1545.205128,4.708721574
"P0891",43,432,"432b","P0891",10.02,"Up_Parana",22.19555562,1525.133333,6.626663313
"P0895",43,431,"431c","P0895",4.659,"Up_Parana",22.22430547,1511.333333,4.82271506
"P0896",43,434,"434a","P0896",14.783,"Up_Parana",22.28815771,1544.368421,7.648448538
"P0897",43,434,"434c","P0897",1.169,"Up_Parana",22.34583282,1545,4.86911573
"P0903",44,442,"442b","P0903",7.836,"Up_Parana",22.16708317,1553.6,4.192040871
"P0904",43,431,"431b","P0904",60.617,"Up_Parana",22.5624999,1474.573333,8.563806317
"P0905",43,433,"433a","P0905",3.525,"Up_Parana",22.32416687,1530.2,5.547167892
"P0907",56,562,"562b","P0907",38.822,"Paraguay",21.86081562,1482.680851,8.478935094
"P0908",56,561,"561a","P0908",13.608,"Paraguay",22.38020825,1435.1875,11.4177522
"P0909",56,561,"561b","P0909",30.595,"Paraguay",22.79797286,1416.054054,11.5248296
"P0919",55,551,"551a","P0919",36.983,"Paraguay",23.13812057,1421.234043,11.23840712
"P0922",60,602,"602a","P0922",1.727,"Paraguay",24.08333397,1426,6.792954921
"P0923",60,601,"601a","P0923",17.758,"Paraguay",24.04365962,1441.391304,6.528160928
"P0935",49,491,"491a","P0935",8.168,"Paraguay",24.07041664,1428.4,6.98124238
"P0937",49,493,"493a","P0937",36.469,"Paraguay",23.26335235,1422.909091,18.29184068
"P0938",49,492,"492a","P0938",5.414,"Paraguay",23.02916654,1433.666667,4.439045168
"P0941",56,562,"562a","P0941",0.691,"Paraguay",21.50638224,1492.465499,1.372757468
"P0944",55,552,"552a","P0944",0.738,"Paraguay",21.42798345,1483.09749,2.191064575
"P0951",92,922,"922d","P0951",16.771,"Tocantins",23.17976207,1594.380952,10.53331867
"P0953",92,922,"922b","P0953",33.712,"Tocantins",24.03916647,1559.555556,24.24595195
"P0955",92,922,"922e","P0955",6.666,"Tocantins",23.56620365,1579.333333,25.68921309
"P0970",93,931,"931a","P0970",6.455,"Tocantins",23.3359375,1592.875,16.55956433
"P0971",93,931,"931b","P0971",43.285,"Tocantins",23.25939537,1591.333333,24.92232688
"P0972",93,932,"932a","P0972",1.675,"Tocantins",23.91249975,1567,5.035679765
"P0974",91,911,"911a","P0974",1.008,"Tocantins",24.02691449,1567.65513,4.820172676
"P0975",91,911,"911b","P0975",1.461,"Tocantins",24.3083334,1554.5,5.025259954
"P0978",91,912,"912a","P0978",54.737,"Tocantins",23.89987186,1552.153846,10.33853553
"P0979",92,922,"922a","P0979",5.028,"Tocantins",23.71249994,1575,26.39249665
"P0981",92,921,"921a","P0981",30.533,"Tocantins",24.64122802,1551.078947,4.393117205
"P0982",91,912,"912b","P0982",5.313,"Tocantins",23.91726221,1557,20.708952
"P0983",92,922,"922c","P0983",36.316,"Tocantins",24.65662874,1548.340909,5.832513063
"P1018",6,61,"61a","P1018",1.844,"Iguassu",16.65555573,1511.666667,2.221294234
"P1025",6,62,"62a","P1025",0.713,"Iguassu",16.45427483,1525.56162,3.767819197
"P1030",16,161,"161b","P1030",10.403,"Iguassu",17.22660255,1403.923077,3.64991493
"P1032",14,142,"142a","P1032",0.992,"Iguassu",17.03125,1386.5,1.512194755
"P1033",15,151,"151b","P1033",1.597,"Iguassu",16.79166603,1377,2.633864367
"P1034",10,102,"102b","P1034",5.678,"Iguassu",16.63802052,1617.75,3.498549897
"P1035",15,151,"151c","P1035",2.332,"Iguassu",16.93888919,1359.666667,2.942865564
"P1037",8,81,"81a","P1037",1.894,"Iguassu",16.53750038,1488,1.746728893
"P1040",16,162,"162a","P1040",14.265,"Iguassu",17.0928243,1425.055556,4.207584449
"P1050",7,71,"71a","P1050",8.773,"Iguassu",16.6820837,1487.5,2.10810701
"P1055",15,152,"152a","P1055",121.524,"Iguassu",16.89663464,1472.807692,5.00581944
"P1057",8,82,"82a","P1057",5.005,"Iguassu",16.1652778,1470.833333,4.190291707
"P1070",10,102,"102a","P1070",18.465,"Iguassu",16.5949275,1586.869565,1.565568124
"P1071",15,151,"151a","P1071",1.025,"Iguassu",16.16875029,1519,5.490013352
"P1073",14,141,"141a","P1073",12.87,"Iguassu",16.72013876,1357.833333,2.618562627
"P1076",7,72,"72a","P1076",5.355,"Iguassu",16.61999969,1480.2,2.137420356
"P1077",9,91,"91b","P1077",1.737,"Iguassu",16.41249975,1449.666667,2.054420024
"P1078",9,91,"91a","P1078",1.133,"Iguassu",16.44740635,1491.160936,1.917258929
"P1079",9,92,"92a","P1079",0.903,"Iguassu",16.43574071,1497.741766,1.98373382
"P1081",13,131,"131a","P1081",0.758,"S_Mat_Atla",21.00666173,1863.725,32.25696452
"P1083",13,132,"132a","P1083",1.9,"S_Mat_Atla",20.90981217,1884.189483,57.09465944
"P1089",21,212,"212a","P1089",7.773,"Up_Parana",19.16898134,1281.666667,6.187747789
"P1110",21,211,"211b","P1110",2.971,"Up_Parana",19.08194478,1270.666667,4.678841227
"P1186",66,663,"663b","P1186",8.133,"Up_Parana",22.3352271,1198.636364,3.306368238
"P1187",66,663,"663a","P1187",2.054,"Up_Parana",22.35833359,1221.25,3.319477316
"P1188",66,662,"662b","P1188",1.303,"Up_Parana",22.60991554,1218.372695,2.599511695
"P1190",66,662,"662a","P1190",4.978,"Up_Parana",22.65416622,1205.666667,3.775949602
"P1191",66,661,"661a","P1191",6.895,"Up_Parana",22.60892868,1209,3.671107989
"P1192",67,673,"673a","P1192",2.327,"Up_Parana",22.84861056,1216.666667,3.814943318
"P1193",67,671,"671","P1193",8.155,"Up_Parana",22.71851836,1217.888889,4.741930097
"P1194",67,672,"672b","P1194",2.364,"Up_Parana",22.82500013,1234.666667,3.950045288
"P1199",67,672,"672a","P1199",0.914,"Up_Parana",22.70149258,1215.998589,3.778508981
"P1200",68,682,"682b","P1200",1.112,"Up_Parana",22.76597766,1190.421421,2.611394511
"P1201",68,682,"682a","P1201",6.518,"Up_Parana",22.7351852,1197.222222,5.106096189
"P1203",70,702,"702a","P1203",2.966,"Up_Parana",22.52916654,1188.666667,3.730815045
"P1204",70,701,"701a","P1204",1.556,"Up_Parana",22.59405882,1172.809203,2.453981392
"P1206",68,681,"681a","P1206",7.04,"Up_Parana",22.64259275,1186.222222,4.156892125
"P1210",69,694,"694a","P1210",4.614,"Up_Parana",22.56041622,1175.666667,4.074522151
