ID_Point;Latitude;Longitude;Name;Description;Rich;sub9;Name_fish;Year_sampling;LUyear0.sub9;sub9_groups;LUyear0.mont;mont_groups;Duration_70;Duration_50;Duration_50_groups;Duration_30;NanosLU
P0292;-28.544939;-55.480953;SAM1301;fish_CamposSulinos_RS;27;5;P0292;2014;32.74931517;baixo;16.02836145;baixo;0;0;recent;29;29
P0352;-13.546417;-48.681722;P21;fish_Cerrado_GO;21;99;P0352;2013;33.48960876;baixo;5.907885218;baixo;0;0;recent;8;28
P0349;-13.480833;-48.620722;P18;fish_Cerrado_GO;25;99;P0349;2013;33.48960876;baixo;6.19266055;baixo;0;0;recent;8;28
P0354;-13.522333;-48.646861;P23;fish_Cerrado_GO;7;99;P0354;2013;33.48960876;baixo;7.834441981;baixo;0;0;recent;8;28
P0351;-13.558722;-48.674194;P20;fish_Cerrado_GO;19;99;P0351;2013;33.48960876;baixo;11.2354521;baixo;0;0;recent;8;28
P0344;-13.444444;-48.602806;P13;fish_Cerrado_GO;22;99;P0344;2013;33.48960876;baixo;15.39637732;baixo;0;0;recent;8;28
P0353;-13.511944;-48.651667;P22;fish_Cerrado_GO;16;99;P0353;2013;33.48960876;baixo;22.51620817;baixo;0;0;recent;8;28
P0350;-13.481944;-48.650611;P19;fish_Cerrado_GO;12;99;P0350;2013;33.48960876;baixo;34.27927928;baixo;0;0;recent;8;28
P0057;-3.210043;-47.602725;igarapé9;fish_Amazonia_PA;12;119;P0057;2011;33.87135536;baixo;0.123479657;baixo;0;0;recent;24;26
P0089;-3.282473;-47.584629;igarapé42;fish_Amazonia_PA;45;119;P0089;2011;33.87135536;baixo;17.87806809;baixo;0;0;recent;24;26
P0489;-18.326619;-45.003445;TM0159;Fish_Cerrado_MG;11;89;P0489;2011;35.66431317;baixo;37.67770315;baixo;0;0;recent;8;26
P0476;-18.404963;-44.98985;TM0043;Fish_Cerrado_MG;9;89;P0476;2011;35.66431317;baixo;62.57459506;alto;0;0;recent;8;26
P0358;-13.339778;-48.612861;P27;fish_Cerrado_GO;16;100;P0358;2013;35.68670268;baixo;0;baixo;0;0;recent;11;28
P0357;-13.363611;-48.59925;P26;fish_Cerrado_GO;15;100;P0357;2013;35.68670268;baixo;5.268205796;baixo;0;0;recent;11;28
P0355;-13.417194;-48.607028;P24;fish_Cerrado_GO;21;100;P0355;2013;35.68670268;baixo;6.496119575;baixo;0;0;recent;11;28
P0356;-13.392222;-48.602611;P25;fish_Cerrado_GO;9;100;P0356;2013;35.68670268;baixo;9.95394304;baixo;0;0;recent;11;28
P0359;-13.283944;-48.626722;P28;fish_Cerrado_GO;15;100;P0359;2013;35.68670268;baixo;23.13771403;baixo;0;0;recent;11;28
P0642;-21.08954;-56.73795;APA34;Fish_Cerrado_MS2;6;59;P0642;2000;37.64739096;baixo;44.38;baixo;0;0;recent;8;15
P0634;-21.39124;-56.8096;APA26;Fish_Cerrado_MS2;4;59;P0634;2000;37.64739096;baixo;76.98;alto;0;0;recent;8;15
P0088;-3.192067;-47.017891;igarapé41;fish_Amazonia_PA;15;120;P0088;2011;39.63024157;baixo;0;baixo;0;0;recent;14;26
P0098;-3.068438;-47.118609;igarapé51;fish_Amazonia_PA;20;120;P0098;2011;39.63024157;baixo;0.905498848;baixo;0;0;recent;14;26
P0096;-3.084704;-47.117616;igarapé49;fish_Amazonia_PA;25;120;P0096;2011;39.63024157;baixo;24.61688947;baixo;0;0;recent;14;26
P0971;-15.74185373;-52.62227507;Corrego 21;fish_Cerrado_MT;13;93;P0971;2016;41.07303841;baixo;19.80574408;baixo;0;0;recent;20;31
P0970;-15.71715047;-52.63596973;Corrego 20;fish_Cerrado_MT;2;93;P0970;2016;41.07303841;baixo;54.16058394;alto;0;0;recent;20;31
P0972;-15.75594019;-52.58935291;Corrego 22;fish_Cerrado_MT;10;93;P0972;2016;41.07303841;baixo;77.28446051;alto;0;0;recent;20;31
P0087;-3.086545;-46.969354;igarapé40;fish_Amazonia_PA;13;121;P0087;2011;41.46998406;baixo;0.100070049;baixo;0;0;recent;14;26
P0086;-3.021663;-46.949053;igarapé39;fish_Amazonia_PA;39;121;P0086;2011;41.46998406;baixo;21.19198475;baixo;0;0;recent;14;26
P0480;-18.542022;-45.611535;TM0088;Fish_Cerrado_MG;3;90;P0480;2011;44.04634522;baixo;60.08503853;alto;0;0;recent;26;26
P0478;-18.439856;-45.671266;TM0072;Fish_Cerrado_MG;8;90;P0478;2011;44.04634522;baixo;64.39803242;alto;0;0;recent;26;26
P0482;-18.516502;-45.018787;TM0091;Fish_Cerrado_MG;6;88;P0482;2011;47.32462191;baixo;43.6672922;baixo;0;26;old;26;26
P0472;-18.459969;-44.990179;TM0027;Fish_Cerrado_MG;2;88;P0472;2011;47.32462191;baixo;74.35033163;alto;0;26;old;26;26
P0381;-14.4211;-48.7353;Ni8;fish_Cerrado_GO;13;95;P0381;2013;47.5438324;baixo;7.226782553;baixo;0;0;recent;2;28
P0379;-14.3687;-48.7169;Ni6;fish_Cerrado_GO;7;95;P0379;2013;47.5438324;baixo;10.29644553;baixo;0;0;recent;2;28
P0380;-14.3939;-48.8105;Ni7;fish_Cerrado_GO;5;95;P0380;2013;47.5438324;baixo;53.92180599;alto;0;0;recent;2;28
P0342;-13.833944;-48.908333;P10;fish_Cerrado_GO;18;98;P0342;2013;48.06580097;baixo;8.534149913;baixo;0;0;recent;28;28
P0343;-13.826722;-48.902556;P11;fish_Cerrado_GO;10;98;P0343;2013;48.06580097;baixo;8.83781159;baixo;0;0;recent;28;28
P0333;-13.797861;-48.802583;P1;fish_Cerrado_GO;16;98;P0333;2013;48.06580097;baixo;11.2593985;baixo;0;0;recent;28;28
P0345;-13.743056;-48.833889;P14;fish_Cerrado_GO;8;98;P0345;2013;48.06580097;baixo;12.59492931;baixo;0;0;recent;28;28
P0334;-13.776889;-48.828491;P2;fish_Cerrado_GO;12;98;P0334;2013;48.06580097;baixo;16.50926898;baixo;0;0;recent;28;28
P0339;-13.747194;-48.866556;P7;fish_Cerrado_GO;11;98;P0339;2013;48.06580097;baixo;23.46407845;baixo;0;0;recent;28;28
P0361;-13.813389;-48.891278;P30;fish_Cerrado_GO;28;98;P0361;2013;48.06580097;baixo;23.84706658;baixo;0;0;recent;28;28
P3241;-11.508836;-59.083063;A26;Fish_Amazonia_MT;16;109;P3241;2018;48.09493567;baixo;39.92473371;baixo;0;0;recent;19;33
P3240;-11.463599;-59.031922;A25;Fish_Amazonia_MT;14;109;P3240;2018;48.09493567;baixo;49.12321181;baixo;0;0;recent;19;33
P3245;-11.467404;-59.124734;A30;Fish_Amazonia_MT;21;109;P3245;2018;48.09493567;baixo;52.08671835;alto;0;0;recent;19;33
P3239;-11.460389;-59.037241;A24;Fish_Amazonia_MT;10;109;P3239;2018;48.09493567;baixo;65.25658807;alto;0;0;recent;19;33
P3242;-11.447033;-59.146873;A27;Fish_Amazonia_MT;17;109;P3242;2018;48.09493567;baixo;78.95295564;alto;0;0;recent;19;33
P3237;-11.449072;-59.072198;A22;Fish_Amazonia_MT;21;109;P3237;2018;48.09493567;baixo;87.63620191;alto;0;0;recent;19;33
P3238;-11.458547;-59.053786;A23;Fish_Amazonia_MT;9;109;P3238;2018;48.09493567;baixo;90.98765432;alto;0;0;recent;19;33
P1077;-26.112772;-49.455536;Rio_dos_Pardos;Fish_MAtlantica_PR;6;9;P1077;2004;50.00330317;alto;32.86;baixo;0;19;recent;19;19
P1078;-26.173485;-49.39709;Mato_Preto;Fish_MAtlantica_PR;4;9;P1078;2004;50.00330317;alto;51.66;alto;0;19;recent;19;19
P1079;-26.158883;-49.362218;Rio_Poco_Frio;Fish_MAtlantica_PR;5;9;P1079;2004;50.00330317;alto;60.73;alto;0;19;recent;19;19
P0659;-21.72587;-57.03773;APA51;Fish_Cerrado_MS2;8;58;P0659;2000;51.4052286;alto;15.13;baixo;0;1;recent;12;15
P0656;-21.75716;-57.1901;APA48;Fish_Cerrado_MS2;15;58;P0656;2000;51.4052286;alto;26.52;baixo;0;1;recent;12;15
P0657;-21.67633;-57.17568;APA49;Fish_Cerrado_MS2;10;58;P0657;2000;51.4052286;alto;31.36;baixo;0;1;recent;12;15
P1034;-25.779297;-49.139057;Rio_Abaixo;Fish_MAtlantica_PR;7;10;P1034;2004;51.97936214;alto;27.13;baixo;0;19;recent;19;19
P1070;-25.83688;-49.135434;Rio_Taboado;Fish_MAtlantica_PR;6;10;P1070;2004;51.97936214;alto;75.3;alto;0;19;recent;19;19
P0951;-15.853734;-52.254766;Corrego 1;fish_Cerrado_MT;1;92;P0951;2016;52.15310778;alto;6.431609696;baixo;0;12;recent;31;31
P0955;-15.875474;-52.220117;Corrego 5;fish_Cerrado_MT;12;92;P0955;2016;52.15310778;alto;13.2434884;baixo;0;12;recent;31;31
P0979;-15.86024775;-52.20240227;Corrego 29;fish_Cerrado_MT;3;92;P0979;2016;52.15310778;alto;13.41152473;baixo;0;12;recent;31;31
P0953;-15.854124;-52.136784;Corrego 3;fish_Cerrado_MT;12;92;P0953;2016;52.15310778;alto;24.26596479;baixo;0;12;recent;31;31
P0981;-15.95347083;-52.13151695;Corrego 31;fish_Cerrado_MT;23;92;P0981;2016;52.15310778;alto;54.62727837;alto;0;12;recent;31;31
P0983;-15.89842086;-52.18840224;Corrego 33;fish_Cerrado_MT;18;92;P0983;2016;52.15310778;alto;64.14835165;alto;0;12;recent;31;31
P0982;-15.78437415;-52.36235896;Corrego 32;fish_Cerrado_MT;9;91;P0982;2016;55.58607228;alto;44.36345967;baixo;0;9;recent;31;31
P0978;-15.94042403;-52.42811823;Corrego 28;fish_Cerrado_MT;9;91;P0978;2016;55.58607228;alto;46.97093608;baixo;0;9;recent;31;31
P0974;-15.97608951;-52.3752345;Corrego 24;fish_Cerrado_MT;4;91;P0974;2016;55.58607228;alto;85.87424634;alto;0;9;recent;31;31
P0975;-15.96025229;-52.36101308;Corrego 25;fish_Cerrado_MT;3;91;P0975;2016;55.58607228;alto;95.59859155;alto;0;9;recent;31;31
P3248;-11.487667;-58.809802;J03;Fish_Amazonia_MT;19;108;P3248;2018;56.91301768;alto;76.25513104;alto;0;17;recent;24;33
P3249;-11.535163;-58.717219;J04;Fish_Amazonia_MT;31;108;P3249;2018;56.91301768;alto;77.00080032;alto;0;17;recent;24;33
P3247;-11.512006;-58.847949;J02;Fish_Amazonia_MT;28;108;P3247;2018;56.91301768;alto;83.23541467;alto;0;17;recent;24;33
P3246;-11.530351;-58.825896;J01;Fish_Amazonia_MT;19;108;P3246;2018;56.91301768;alto;92.83489097;alto;0;17;recent;24;33
P0373;-15.0503;-48.9555;BA13;fish_Cerrado_GO;8;94;P0373;2013;57.59411848;alto;14.33506045;baixo;0;28;old;28;28
P0363;-15.0947;-48.9862;BA2;fish_Cerrado_GO;3;94;P0363;2013;57.59411848;alto;28.21338239;baixo;0;28;old;28;28
P0362;-15.0765;-48.9658;BA1;fish_Cerrado_GO;12;94;P0362;2013;57.59411848;alto;53.59725923;alto;0;28;old;28;28
P1057;-26.325166;-50.018271;Rio_Leonardo;Fish_MAtlantica_PR;10;8;P1057;2004;57.88889005;alto;39.38;baixo;0;10;recent;19;19
P1037;-26.311363;-50.13643;Rio_Arroio_Grande;Fish_MAtlantica_PR;5;8;P1037;2004;57.88889005;alto;90.44;alto;0;10;recent;19;19
P1030;-25.591663;-49.942123;Riacho_Porto_Amazonas;Fish_MAtlantica_PR;2;16;P1030;2004;58.68279531;alto;58.1;alto;0;19;recent;19;19
P1040;-25.543093;-49.886077;Riacho_Canoninhas;Fish_MAtlantica_PR;5;16;P1040;2004;58.68279531;alto;88.58;alto;0;19;recent;19;19
P1035;-25.589437;-49.691576;Rio_Amola_Faca;Fish_MAtlantica_PR;6;15;P1035;2004;59.12527046;alto;22.86;baixo;0;19;recent;19;19
P1071;-25.491373;-49.653604;Rio Tortuoso;Fish_MAtlantica_PR;4;15;P1071;2004;59.12527046;alto;43.32;baixo;0;19;recent;19;19
P1055;-25.583689;-49.644379;Rio_Itaqui;Fish_MAtlantica_PR;1;15;P1055;2004;59.12527046;alto;59.57;alto;0;19;recent;19;19
P1033;-25.598704;-49.712226;Riacho_Serrinha;Fish_MAtlantica_PR;3;15;P1033;2004;59.12527046;alto;84.23;alto;0;19;recent;19;19
P1025;-26.361554;-50.541335;Riacho_Juquia;Fish_MAtlantica_PR;1;6;P1025;2004;60.13620425;alto;59.49;alto;0;19;recent;19;19
P1018;-26.249419;-50.455832;Corrego_Tira_Fogo;Fish_MAtlantica_PR;12;6;P1018;2004;60.13620425;alto;72.71;alto;0;19;recent;19;19
P0922;-19.77643;-54.51244;Barreirinho;Fish_Cerrado_MS4;16;60;P0922;2016;63.16381528;alto;71.54709614;alto;0;31;old;31;31
P0923;-19.744;-54.64326;Manga;Fish_Cerrado_MS4;10;60;P0923;2016;63.16381528;alto;78.50808555;alto;0;31;old;31;31
P1050;-26.154086;-50.282479;Rio_dos_Pardos;Fish_MAtlantica_PR;5;7;P1050;2004;64.4358989;alto;55.85;alto;0;19;recent;19;19
P1076;-26.159521;-50.238443;Arroio_do_Paiol;Fish_MAtlantica_PR;3;7;P1076;2004;64.4358989;alto;83.09;alto;0;19;recent;19;19
P0245;-9.759255;-62.116894;RO43;Fish_Amazonia_RO;19;106;P0245;2018;64.61661856;alto;4.291044776;baixo;0;16;recent;24;33
P0248;-9.806537;-62.147994;RO46;Fish_Amazonia_RO;17;106;P0248;2018;64.61661856;alto;68.43459877;alto;0;16;recent;24;33
P0234;-9.667455;-62.162111;RO32;Fish_Amazonia_RO;24;106;P0234;2018;64.61661856;alto;100;alto;0;16;recent;24;33
P0937;-20.80774;-54.88499;Cór_canastrão;Fish_Cerrado_MS4;14;49;P0937;2016;67.73396854;alto;64.03116764;alto;0;28;old;31;31
P0935;-20.65782;-55.14295;Rib_Belchior;Fish_Cerrado_MS4;8;49;P0935;2016;67.73396854;alto;81.25384773;alto;0;28;old;31;31
P0938;-20.88995;-54.94744;Cór_coroado;Fish_Cerrado_MS4;5;49;P0938;2016;67.73396854;alto;91.53406458;alto;0;28;old;31;31
P1032;-25.590102;-49.495963;Riacho_Guajuvira;Fish_MAtlantica_PR;4;14;P1032;2004;70.02029653;alto;59.34;alto;19;19;recent;19;19
P1073;-25.653984;-49.572053;Rio_Turvo;Fish_MAtlantica_PR;4;14;P1073;2004;70.02029653;alto;67.87;alto;19;19;recent;19;19
P0909;-21.82586;-56.10278;Preto;Fish_Cerrado_MS4;13;56;P0909;2016;70.32688303;alto;51.31217745;alto;31;31;old;31;31
P0908;-21.8989;-56.05018;Limeira;Fish_Cerrado_MS4;7;56;P0908;2016;70.32688303;alto;64.60252578;alto;31;31;old;31;31
P0907;-21.97072;-55.95173;Sao_lourenço;Fish_Cerrado_MS4;4;56;P0907;2016;70.32688303;alto;79.49974324;alto;31;31;old;31;31
P0941;-21.95381;-55.84067;Nasc_Miranda;Fish_Cerrado_MS4;3;56;P0941;2016;70.32688303;alto;100;alto;31;31;old;31;31
P0474;-19.237036;-45.371235;TM0033;Fish_Cerrado_MG;3;85;P0474;2011;70.82908347;alto;39.62148962;baixo;9;26;old;26;26
P0481;-19.193392;-45.206606;TM0090;Fish_Cerrado_MG;2;85;P0481;2011;70.82908347;alto;46.12152553;baixo;9;26;old;26;26
P0486;-19.2274;-45.237008;TM0133;Fish_Cerrado_MG;3;85;P0486;2011;70.82908347;alto;73.7878893;alto;9;26;old;26;26
P0477;-19.076318;-45.164636;TM0058;Fish_Cerrado_MG;5;86;P0477;2011;71.14262819;alto;45.78512397;baixo;1;26;old;26;26
P0499;-19.181316;-45.446763;TM0290;Fish_Cerrado_MG;7;86;P0499;2011;71.14262819;alto;84.79188501;alto;1;26;old;26;26
P0507;-19.148292;-45.436062;TM6757;Fish_Cerrado_MG;0;86;P0507;2011;71.14262819;alto;88.87053479;alto;1;26;old;26;26
P0427;-19.231504;-47.149664;NP7308;Fish_Cerrado_MG;5;82;P0427;2011;72.83035124;alto;14.13427562;baixo;26;26;old;26;26
P0392;-19.35887;-47.216649;NP0012;Fish_Cerrado_MG;11;82;P0392;2011;72.83035124;alto;45.23250352;baixo;26;26;old;26;26
P0394;-19.23303;-47.215573;NP0028;Fish_Cerrado_MG;2;82;P0394;2011;72.83035124;alto;75.62583075;alto;26;26;old;26;26
P0405;-19.306116;-47.121536;NP0108;Fish_Cerrado_MG;10;82;P0405;2011;72.83035124;alto;80.00497389;alto;26;26;old;26;26
P0428;-19.247063;-47.139254;NP9611;Fish_Cerrado_MG;6;82;P0428;2011;72.83035124;alto;83.51453856;alto;26;26;old;26;26
P0944;-21.88867;-55.78406;Cab_Cor_Fundo;Fish_Cerrado_MS4;3;55;P0944;2016;72.87643114;alto;89.76377953;alto;31;31;old;31;31
P0919;-21.65833;-56.02726;Sta_Tereza;Fish_Cerrado_MS4;17;55;P0919;2016;72.87643114;alto;92.94867464;alto;31;31;old;31;31
P0414;-19.123306;-46.825194;NP0203;Fish_Cerrado_MG;12;83;P0414;2011;74.16030329;alto;54.04209965;alto;26;26;old;26;26
P0398;-19.017444;-46.873111;NP0055;Fish_Cerrado_MG;12;83;P0398;2011;74.16030329;alto;91.54312131;alto;26;26;old;26;26
P1311;-22.340545;-47.803463;Corumbatai_31;Fish_MAtlantica_SP2;2;22;P1311;2005;74.3468606;alto;43.36;baixo;20;20;old;20;20
P1319;-22.360013;-47.835683;Corumbatai_39;Fish_MAtlantica_SP2;1;22;P1319;2005;74.3468606;alto;55.7;alto;20;20;old;20;20
P1317;-22.285449;-47.831412;Corumbatai_37;Fish_MAtlantica_SP2;11;22;P1317;2005;74.3468606;alto;55.73;alto;20;20;old;20;20
P1326;-22.420712;-47.79078;Corumbatai_46;Fish_MAtlantica_SP2;12;22;P1326;2005;74.3468606;alto;66.31;alto;20;20;old;20;20
P1312;-22.342315;-47.799249;Corumbatai_32;Fish_MAtlantica_SP2;4;22;P1312;2005;74.3468606;alto;67.49;alto;19;19;recent;19;20
P1325;-22.402167;-47.810843;Corumbatai_45;Fish_MAtlantica_SP2;12;22;P1325;2005;74.3468606;alto;68.44;alto;20;20;old;20;20
P1303;-22.264122;-47.68139;Corumbatai_23;Fish_MAtlantica_SP2;2;22;P1303;2005;74.3468606;alto;70.07;alto;20;20;old;20;20
P1314;-22.362523;-47.891213;Corumbatai_34;Fish_MAtlantica_SP2;10;22;P1314;2005;74.3468606;alto;75.4;alto;20;20;old;20;20
P1304;-22.251638;-47.662106;Corumbatai_24;Fish_MAtlantica_SP2;7;22;P1304;2005;74.3468606;alto;75.72;alto;20;20;old;20;20
P1313;-22.36334;-47.891996;Corumbatai_33;Fish_MAtlantica_SP2;16;22;P1313;2005;74.3468606;alto;81.03;alto;20;20;old;20;20
P1321;-22.4003;-47.841179;Corumbatai_41;Fish_MAtlantica_SP2;4;22;P1321;2005;74.3468606;alto;81.45;alto;20;20;old;20;20
P1307;-22.305968;-47.67503;Corumbatai_27;Fish_MAtlantica_SP2;1;22;P1307;2005;74.3468606;alto;92.24;alto;20;20;old;20;20
P1324;-22.516729;-47.75498;Corumbatai_44;Fish_MAtlantica_SP2;2;22;P1324;2005;74.3468606;alto;93.43;alto;20;20;old;20;20
P1322;-22.410102;-47.883985;Corumbatai_42;Fish_MAtlantica_SP2;3;22;P1322;2005;74.3468606;alto;98.79;alto;20;20;old;20;20
P1320;-22.399225;-47.84736;Corumbatai_40;Fish_MAtlantica_SP2;3;22;P1320;2005;74.3468606;alto;99.5;alto;20;20;old;20;20
P1323;-22.401036;-47.866956;Corumbatai_43;Fish_MAtlantica_SP2;1;22;P1323;2005;74.3468606;alto;100;alto;20;20;old;20;20
P0271;-11.734409;-61.388532;RO69;Fish_Amazonia_RO;16;102;P0271;2018;75.27787179;alto;0;baixo;22;30;old;33;33
