9	12	Mont	Name_fish	Duration_70	Duration_50	Duration_30
32	321	321a	P0561	15	15	15
27	273	273b	P0562	15	15	15
27	271	271b	P0564	15	15	15
31	311	311a	P0569	15	15	15
34	344	344a	P0573	15	15	15
34	344	344b	P0574	15	15	15
34	341	341a	P0575	15	15	15
33	333	333a	P0576	15	15	15
33	332	332a	P0577	15	15	15
33	331	331b	P0578	15	15	15
27	271	271a	P0580	15	15	15
27	272	272a	P0593	15	15	15
27	273	273a	P0595	15	15	15
33	331	331a	P0597	15	15	15
57	572	572a	P0610	15	15	15
57	571	571a	P0614	15	15	15
59	591	591a	P0634	0	0	8
59	592	592a	P0642	0	0	8
57	572	572b	P0647	15	15	15
58	581	581b	P0656	0	1	12
58	581	581a	P0657	0	1	12
58	582	582a	P0659	0	1	12
46	461	461a	P0674	31	31	31
46	462	462a	P0675	31	31	31
47	471	471a	P0676	31	31	31
40	403	403a	P0682	31	31	31
29	292	292a	P0683	29	31	31
26	263	263a	P0685	31	31	31
43	431	431a	P0687	31	31	31
42	422	422b	P0690	31	31	31
41	414	414a	P0691	31	31	31
35	351	351a	P0693	31	31	31
47	472	472a	P0700	31	31	31
44	441	441c	P0705	31	31	31
122	1222	1222a	P0713	31	31	31
53	531	531a	P0714	31	31	31
50	501	501a	P0717	31	31	31
50	502	502a	P0718	31	31	31
62	622	622a	P0720	23	31	31
41	414	414b	P0721	31	31	31
41	411	411a	P0722	31	31	31
45	452	452a	P0730	31	31	31
36	362	362a	P0731	28	28	28
41	415	415a	P0737	31	31	31
44	442	442a	P0738	31	31	31
44	441	441a	P0739	31	31	31
44	441	441b	P0740	31	31	31
41	416	416a	P0742	31	31	31
62	621	621a	P0744	23	31	31
43	434	434b	P0745	31	31	31
42	422	422a	P0747	31	31	31
29	292	292b	P0748	29	31	31
28	281	281a	P0750	31	31	31
26	262	262b	P0751	31	31	31
26	264	264a	P0752	31	31	31
30	301	301a	P0753	31	31	31
37	371	371a	P0754	31	31	31
37	372	372a	P0755	31	31	31
35	352	352a	P0756	31	31	31
47	473	473a	P0758	31	31	31
122	1221	1221a	P0766	31	31	31
50	501	501b	P0780	31	31	31
39	392	392b	P0783	31	31	31
45	451	451a	P0784	31	31	31
26	262	262a	P0786	31	31	31
28	281	281b	P0787	31	31	31
26	261	261a	P0793	31	31	31
30	302	302a	P0798	31	31	31
30	302	302b	P0799	31	31	31
29	291	291a	P0802	29	31	31
54	542	542a	P0804	31	31	31
53	532	532a	P0805	31	31	31
50	501	501c	P0807	31	31	31
39	393	393a	P0810	31	31	31
54	541	541a	P0811	31	31	31
39	392	392a	P0812	31	31	31
38	383	383d	P0819	31	31	31
35	353	353a	P0821	31	31	31
36	361	361a	P0824	31	31	31
41	417	417a	P0825	31	31	31
43	432	432a	P0830	31	31	31
40	402	402a	P0832	31	31	31
38	383	383c	P0835	31	31	31
38	383	383b	P0836	31	31	31
38	383	383a	P0837	31	31	31
38	383	383e	P0844	31	31	31
42	421	421a	P0849	31	31	31
38	382	382a	P0872	31	31	31
41	413	413a	P0889	31	31	31
41	412	412a	P0890	31	31	31
43	432	432b	P0891	31	31	31
43	431	431c	P0895	31	31	31
43	434	434a	P0896	31	31	31
43	434	434c	P0897	31	31	31
44	442	442b	P0903	31	31	31
43	431	431b	P0904	31	31	31
43	433	433a	P0905	31	31	31
56	562	562b	P0907	31	31	31
56	561	561a	P0908	31	31	31
56	561	561b	P0909	31	31	31
55	551	551a	P0919	31	31	31
60	602	602a	P0922	0	31	31
60	601	601a	P0923	0	31	31
49	491	491a	P0935	0	28	31
49	493	493a	P0937	0	28	31
49	492	492a	P0938	0	28	31
56	562	562a	P0941	31	31	31
55	552	552a	P0944	31	31	31
92	922	922d	P0951	0	12	31
92	922	922b	P0953	0	12	31
92	922	922e	P0955	0	12	31
93	931	931a	P0970	0	0	20
93	931	931b	P0971	0	0	20
93	932	932a	P0972	0	0	20
91	911	911a	P0974	0	9	31
91	911	911b	P0975	0	9	31
91	912	912a	P0978	0	9	31
92	922	922a	P0979	0	12	31
92	921	921a	P0981	0	12	31
91	912	912b	P0982	0	9	31
92	922	922c	P0983	0	12	31
6	61	61a	P1018	0	19	19
6	62	62a	P1025	0	19	19
16	161	161b	P1030	0	19	19
14	142	142a	P1032	19	19	19
15	151	151b	P1033	0	19	19
10	102	102b	P1034	0	19	19
15	151	151c	P1035	0	19	19
8	81	81a	P1037	0	10	19
16	162	162a	P1040	0	19	19
7	71	71a	P1050	0	19	19
15	152	152a	P1055	0	19	19
8	82	82a	P1057	0	10	19
10	102	102a	P1070	0	19	19
15	151	151a	P1071	0	19	19
14	141	141a	P1073	19	19	19
7	72	72a	P1076	0	19	19
9	91	91b	P1077	0	19	19
9	91	91a	P1078	0	19	19
9	92	92a	P1079	0	19	19
13	131	131a	P1081	0	0	0
13	132	132a	P1083	0	0	0
21	212	212a	P1089	15	23	23
21	211	211b	P1110	15	23	23
66	663	663b	P1186	20	20	20
66	663	663a	P1187	20	20	20
66	662	662b	P1188	20	20	20
66	662	662a	P1190	20	20	20
66	661	661a	P1191	20	20	20
67	673	673a	P1192	20	20	20
67	671	671	P1193	20	20	20
67	672	672b	P1194	20	20	20
67	672	672a	P1199	20	20	20
68	682	682b	P1200	20	20	20
68	682	682a	P1201	20	20	20
70	702	702a	P1203	20	20	20
70	701	701a	P1204	20	20	20
68	681	681a	P1206	20	20	20
69	694	694a	P1210	20	20	20
69	691	691a	P1211	20	20	20
69	693	693a	P1218	20	20	20
69	692	692a	P1219	20	20	20
73	732	732a	P1221	20	20	20
73	731	731a	P1222	20	20	20
71	711	711a	P1228	20	20	20
71	712	712a	P1230	20	20	20
71	712	712b	P1233	20	20	20
74	741	741a	P1242	20	20	20
74	742	742a	P1243	20	20	20
74	743	743a	P1244	20	20	20
75	753	753a	P1249	20	20	20
74	744	744a	P1250	20	20	20
75	751	751a	P1251	20	20	20
75	752	752b	P1252	20	20	20
75	752	752a	P1256	20	20	20
75	753	753b	P1257	20	20	20
75	754	754a	P1258	20	20	20
65	651	651a	P1261	20	20	20
65	651	651b	P1262	20	20	20
65	652	652a	P1263	20	20	20
63	632	632a	P1264	20	20	20
63	631	631a	P1265	20	20	20
63	633	633a	P1271	20	20	20
23	233	233a	P1289	20	20	20
23	233	233b	P1292	20	20	20
23	232	232a	P1294	20	20	20
23	233	233c	P1295	20	20	20
23	232	232c	P1297	20	20	20
23	232	232b	P1298	20	20	20
23	233	233d	P1299	20	20	20
22	222	222c	P1303	20	20	20
22	222	222b	P1304	20	20	20
22	222	222d	P1307	20	20	20
22	221	221b	P1311	20	20	20
22	221	221a	P1312	19	19	19
22	221	221d	P1313	20	20	20
22	221	221e	P1314	20	20	20
22	221	221c	P1317	20	20	20
22	221	221l	P1319	20	20	20
22	221	221h	P1320	20	20	20
22	221	221i	P1321	20	20	20
22	221	221f	P1322	20	20	20
22	221	221g	P1323	20	20	20
22	222	222a	P1324	20	20	20
22	221	221k	P1325	20	20	20
22	221	221j	P1326	20	20	20
23	232	232g	P1343	20	20	20
23	231	231a	P1346	20	20	20
23	231	231b	P1347	20	20	20
23	232	232f	P1348	20	20	20
23	232	232h	P1349	20	20	20
23	232	232i	P1350	20	20	20
23	232	232d	P1351	20	20	20
23	232	232e	P1352	20	20	20
110	1101	1101a	P3224	0	0	0
110	1102	1102a	P3225	0	0	0
109	1092	1092e	P3237	0	0	19
109	1092	1092d	P3238	0	0	19
109	1092	1092b	P3239	0	0	19
109	1092	1092a	P3240	0	0	19
109	1092	1092c	P3241	0	0	19
109	1091	1091a	P3242	0	0	19
109	1091	1091b	P3245	0	0	19
108	1082	1082b	P3246	0	17	24
108	1083	1083a	P3247	0	17	24
108	1082	1082a	P3248	0	17	24
108	1081	1081a	P3249	0	17	24
