ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acanthodoras_cataphractus,Acaronia_nassa,Acestrorhynchus_falcatus,Aequidens_epae,Aequidens_tetramerus,Ancistrus_sp_bola,Ancistrus_sp_dois_bigodes,Apistogramma_aff_regani,Apistogramma_agassizii,Apistogramma_caetei,Apistogramma_taeniata,Apteronotus_albifrons,Astyanax_cf_bimaculatus,Astyanax_maculisquamis,Bario_steindachneri,Batrochoglanis_raninus,Brachyhypopomus_beebei,Brachyhypopomus_brevirostris,Brachyglanis_microphthalmus,Brachyhypopomus_sp_electropomus,Brachyhypopomus_sp_regani,Brachyhypopomus_sp_royeroi,Bryconops_caudomaculatus,Bryconops_melanurus,Bunocephalus_cf_amaurus,Bunocephalus_coracoideus,Callichthys_callichthys,Characidium_aff_pteroides,Characidium_cf_etheostoma,Charax_leticiae,Cichla_kelberi,Copella_arnoldi,Copella_nigrofasciata,Copella_sp_pyrr_,Corydoras_julii,Corydoras_sp_C24,Crenicichla_aff_lepidota,Crenicichla_aff_menezesi,Creagrutus_ignotus,Crenicichla_inpa,Crenicichla_johanna,Crenuchus_spilurus,Crenicichla_strigata,Curimatopsis_macrolepis,Cyphocharax_gouldingi,Denticetopsis_seducta,Eigenmannia_aff_trilineata,Erythrinus_erythrinus,Farlowella_platorynchus,Farlowella_schreitmuelleri,Gasteropelecus_sternicla,Geophagus_altifrons,Gladioglanis_conquistador,Gymnotus_carapo,Gymnotus_coropinae,Gymnorhamphichthys_petiti,Gymnocorymbus_thayeri,Helogenes_marmoratus,Hemiodontichthys_acipenserinus,Hemigrammus_bellottii,Hemigrammus_guyanensis,Hemigrammus_levis,Hemigrammus_ocellifer,Hemigrammus_rhodostomus,Hemigrammus_rodwayi,Hemigrammus_sp_geisleri,Hemigrammus_sp_prata,Hemigrammus_stictus,Hemigrammus_vorderwinkleri,Heros_notatus,Hoplias_curupira,Hoplias_malabaricus,Hoplerythrinus_unitaeniatus,Hypostomus_cf_cochliodon,Hyphessobrycon_copelandi,Hyphessobrycon_heterorhabdus,Hypopygus_lepturus,Hyphessobrycon_sp_túlio,Hypselecara_temporalis,Iguanodectes_rachovii,Iguanodectes_variatus,Imparfinis_sp_linha_continua,Imparfinis_stictonotus,Ituglanis_amazonicus,Jupiaba_anteroides,Knodus_cf_victoriae,Knodus_savannensis,Knodus_spn_anal_longa,Laetacara_curviceps,Leporinus_friderici,Mastiglanis_asopos,Megalechis_picta,Melanocharacidium_dispilomma,Mesonauta_festivus,Microsternarchus_bilineatus,Microschemobrycon_geisleri,Microcharacidium_weitzmani,Moenkhausia_celibela,Moenkhausia_collettii,Moenkhausia_conspicua,Moenkhausia_comma,Moenkhausia_oligolepis,Moenkhausia_sp_lepidura_curta,Myloplus_rubripinnis,Nannostomus_beckfordi,Nannostomus_eques,Nannostomus_marginatus,Nannostomus_nitidus,Nannacara_taenia,Nannostomus_trifasciatus,Otocinclus_hoppei,Parotocinclus_sp,Parotocinclus_sp_bicudinho,Phenacogaster_cf_pectinatus,Phenacogaster_cf_wayana,Pimelodella_sp_serra_forte,Pimelodella_sp_sem_serra,Poptella_brevispina,Poptella_compressa,Potamorrhaphis_eigenmanni,Pristella_maxillaris,Pyrrhulina_aff_brevis,Pyrrhulina_zigzag,Rhamphichthys_marmoratus,Rhamdia_muelleri,Rhamdia_quelen,Rineloricaria_sp_2_madeira_,Rivulus_cf urophthalmus,Rivulus_dibaphus,Satanoperca_jurupari,Serrapinnus_aff_piaba,Serrasalmus_rhombeus,Serrasalmus_sp_robertsoni,Steindachnerina_amazonica,Steatogenys_duidae,Sternopygus_macrurus,Synbranchus_madeirae,Synbranchus_sp_pintado,Tatia_aff_dunni,Tatia_intermedia,Tetranematichthys_wallacei,Tometes_sp,Trachelyopterus_galeatus,Trichomycterus_hasemani
P0059,-3.334648,-47.179643,igarapé11,fish_Amazonia_PA,157,21.74,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,17,40,0,0,0,0,0,0,1,0,0,0,8,2,0,9,0,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,319,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,21,0,0,24,0,13,0,0,0,0,0,0,0,0,0,1,1,6,0,0,6,0,50,1,0,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
P0060,-3.365448,-47.834143,igarapé12,fish_Amazonia_PA,157,17.24,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,3,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,110,0,0,0,36,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,3,0,0,0,19,19,80,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P0061,-3.450293,-47.463749,igarapé13,fish_Amazonia_PA,157,43.42,0,0,1,0,2,1,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,11,33,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,1,0,0,0,128,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,40,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,1,0,2,40,1,0,0,0,2,0,0,0,0,0,0,3,0
P0062,-3.462548,-47.450333,igarapé14,fish_Amazonia_PA,157,27.15,0,0,1,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,84,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,177,0,0,2,0,0,32,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0063,-3.462256,-47.427053,igarapé15,fish_Amazonia_PA,157,8.13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,3,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,114,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,15,0,0,0,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0064,-2.588643,-46.957875,igarapé16,fish_Amazonia_PA,157,16.04,0,0,0,0,2,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,0,1,0,0,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,99,0,0,0,0,0,50,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,10,3,0,0,0,0,0,0,0
P0065,-2.59756,-46.967824,igarapé17,fish_Amazonia_PA,157,32.82,0,0,1,0,28,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,27,42,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,9,0,0,3,2,0,0,1,0,0,0,0,0,0,2,0,0,0,269,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,79,0,99,0,5,7,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,12,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
P0066,-3.737259,-48.511228,igarapé18,fish_Amazonia_PA,157,0,0,0,0,0,11,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,3,10,3,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,159,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0067,-3.782833,-48.51207,igarapé19,fish_Amazonia_PA,157,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0068,-3.120638,-47.46232,igarapé21,fish_Amazonia_PA,157,35.78,0,0,1,0,11,0,0,0,0,84,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,0,0,0,0,0,0,0,6,0,0,0,0,0,20,24,0,102,0,0,0,0,0,0,2,0,0,29,0,0,0,0,0,5,0,526,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,8,0,0,133,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,13,4,0,0,0,2,0,5,0,0,127,0,0,201,0,0,0,0,0,0,0,0,0,0
P0069,-3.176014,-47.324089,igarapé22,fish_Amazonia_PA,157,24.11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0070,-3.716832,-48.134219,igarapé23,fish_Amazonia_PA,157,3.17,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P0071,-3.757758,-48.116052,igarapé24,fish_Amazonia_PA,157,67.71,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,22,5,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0072,-3.775184,-48.10423,igarapé25,fish_Amazonia_PA,157,32.53,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,71,0,0,46,0,13,0,57,0,0,0,0,2,0,0,0,5,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0073,-3.298034,-47.129477,igarapé26,fish_Amazonia_PA,157,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,86,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,45,0,0,0,0,0,0,0,6,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0074,-3.386411,-47.123829,igarapé27,fish_Amazonia_PA,157,55.88,0,0,0,0,1,1,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,256,6,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,21,0,0,0,0,41,0,1,0,0,0,0,0,0,0,0,2,0,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,9,0,0,0,106,0,0,0,0,3,0,0,0,0,0,0,1,0
P0075,-3.497027,-47.07467,igarapé28,fish_Amazonia_PA,157,65.82,0,0,3,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,29,0,1,0,0,0,0,0,0,4,0,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0076,-3.398079,-47.777941,igarapé29,fish_Amazonia_PA,157,39.91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0077,-3.366245,-47.870424,igarapé30,fish_Amazonia_PA,157,17.96,0,0,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0078,-2.665558,-47.086375,igarapé31,fish_Amazonia_PA,157,4.54,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,20,0,3,0,44,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,135,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
